HR_Location,Has_Footage,Has_Shift,Footage_Hours,Shift_Hours,Employee_IDs,Percent_of_Total_Footage_Hours,Percent_of_Total_Shift_Hours
Alpha,FALSE,TRUE,NA,7338.8052777777775,127,NA,0.4312707820771746
Alpha,TRUE,FALSE,1805.7869444444445,NA,122,0.19713570623581034,NA
Alpha,TRUE,TRUE,7354.3341666666665,9677.894166666667,111,0.8028642937641897,0.5687292179228255
Beta,FALSE,TRUE,NA,6014.936111111111,118,NA,0.4894624203855058
Beta,TRUE,FALSE,3749.46,NA,114,0.42257337666033423,NA
Beta,TRUE,TRUE,5123.460555555555,6273.925833333334,106,0.5774266233396657,0.5105375796144942
Delta,FALSE,TRUE,NA,12830.772222222222,141,NA,0.6427038599885979
Delta,TRUE,FALSE,1208.756111111111,NA,133,0.19561383098546975,NA
Delta,TRUE,TRUE,4970.541666666667,7132.966944444444,128,0.8043861690145303,0.3572961400114021
Epsilon,FALSE,TRUE,NA,9000.375,168,NA,0.4314089598389772
Epsilon,TRUE,FALSE,2899.159722222222,NA,157,0.22157516307372385,NA
Epsilon,TRUE,TRUE,10185.1575,11862.369722222222,149,0.7784248369262762,0.5685910401610228
Gamma,FALSE,TRUE,NA,11960.874722222223,183,NA,0.5368017001865604
Gamma,TRUE,FALSE,4153.7075,NA,170,0.32328347818055797,NA
Gamma,TRUE,TRUE,8694.791666666666,10320.863055555556,151,0.6767165218194421,0.4631982998134396
